date,cash_weight,portfolio_value,weight_2330.TW,weight_2317.TW,weight_2454.TW,weight_6488.TWO,weight_3443.TW,weight_2408.TW,weight_5483.TWO,weight_3661.TW,weight_2308.TW,weight_2345.TW,weight_3711.TW,weight_3665.TW,weight_2303.TW,weight_3231.TW,weight_3017.TW,weight_8299.TWO,weight_2382.TW,weight_5269.TW,weight_3037.TW,weight_3189.TW,weight_2376.TW,weight_2357.TW,weight_5347.TWO,weight_2421.TW,weight_6274.TWO,weight_2379.TW,weight_3380.TW,weight_3583.TW,weight_2356.TW,weight_6415.TW,weight_2324.TW,weight_6213.TW,weight_3034.TW,weight_6187.TWO,weight_3529.TWO,weight_6285.TW,weight_3324.TWO,weight_3653.TW,weight_2368.TW,weight_8046.TW,weight_8016.TW,weight_6409.TW,weight_6669.TW,weight_3131.TWO,weight_8996.TW
2022-02-17,0.4185198277389235,0.8887976109197465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14893218016931178,0.0,0.0,0.0,0.0,0.0,0.1861198599031942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13512547043607473,0.0,0.11130266175249576,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,0.477191119449087,0.8915923256653876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14893218016931178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12744856819303074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13512547043607473,0.0,0.11130266175249576,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,0.7423315057898576,0.8845120575897824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06798062646873756,0.0,0.0,0.0608576589071011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059789360877091864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0690408479572118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-22,0.4846350661643998,0.8783422233822402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14199282560928203,0.0,0.0,0.0608576589071011,0.0,0.0,0.0,0.11727624293963895,0.0,0.0,0.0,0.0,0.059789360877091864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354488455024863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-23,0.6266278917736818,0.8911425494449444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0608576589071011,0.0,0.0,0.0,0.11727624293963895,0.0,0.0,0.0,0.0,0.059789360877091864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354488455024863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-24,0.5627045695196454,0.8915546372048926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12478098116113749,0.0,0.0,0.0,0.11727624293963895,0.0,0.0,0.0,0.0,0.059789360877091864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354488455024863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,0.5627045695196454,0.8941228815742815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12478098116113749,0.0,0.0,0.0,0.11727624293963895,0.0,0.0,0.0,0.0,0.059789360877091864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354488455024863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.5627045695196454,0.8910937148478557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12478098116113749,0.0,0.0,0.0,0.11727624293963895,0.0,0.0,0.0,0.0,0.059789360877091864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354488455024863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,0.5627045695196454,0.8866707455047286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12478098116113749,0.0,0.0,0.0,0.11727624293963895,0.0,0.0,0.0,0.0,0.059789360877091864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354488455024863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,0.5656157823181456,0.8866842470787533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049996001369357945,0.0,0.0,0.0,0.0,0.0,0.0,0.061424142856991784,0.0,0.0,0.07765928717845802,0.11727624293963895,0.0,0.0,0.0,0.0,0.059789360877091864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06823918246031585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
